lga_name,lga_code,single_hosts,can_cover,pct_cover
NORTHERN BEACHES,LGA15990,4212,2370,56.27
MOSMAN,LGA15350,325,168,51.69
HUNTERS HILL,LGA14100,50,25,50.00
WAVERLEY,LGA18050,3932,1844,46.90
SUTHERLAND SHIRE,LGA17150,491,229,46.64
SYDNEY,LGA17200,5412,2404,44.42
RANDWICK,LGA16550,2362,1042,44.12
NORTH SYDNEY,LGA15950,925,397,42.92
WILLOUGHBY,LGA18250,312,127,40.71
LANE COVE,LGA14700,191,77,40.31
WOOLLAHRA,LGA18500,1040,419,40.29
INNER WEST,LGA14170,1797,720,40.07
CANADA BAY,LGA11520,314,110,35.03
CAMDEN,LGA11450,37,11,29.73
CUMBERLAND,LGA12380,318,87,27.36
HORNSBY,LGA14000,299,81,27.09
BAYSIDE,LGA11100,996,256,25.70
RYDE,LGA16700,404,103,25.50
THE HILLS SHIRE,LGA17420,211,52,24.64
CANTERBURY-BANKSTOWN,LGA11570,398,90,22.61
STRATHFIELD,LGA17100,115,26,22.61
PARRAMATTA,LGA16260,334,75,22.46
GEORGES RIVER,LGA12930,236,51,21.61
PENRITH,LGA16350,111,23,20.72
BURWOOD,LGA11300,117,24,20.51
LIVERPOOL,LGA14900,88,18,20.45
CAMPBELLTOWN,LGA11500,52,8,15.38
FAIRFIELD,LGA12850,39,6,15.38
BLACKTOWN,LGA10750,211,26,12.32
